last_name,first_name,total
CARVALHO,Pedro,83.04
PALMER,Keegan,82.3
BARROS,Pedro,81.85
BOTTGER,Gavin,81.55
NAGAHARA,Yuro,81.45
CINI,Luigi,78.76
KORTABITARTE,Alain,77.53
SORGENTE,Alex,76.8
WINBERG,Hampus,76.2
SOLMUNDE,Viktor,75.76
EDTMAYER,Tyler,74.48
PINEIRO,Steven,72.78
PERES,Murilo,72.49
MAZZARA,Alessandro,71.99
GONZALEZ,Peio,71.28
BEHAR,Yam,70.56
DAMESTOY,Edouard,69.5
AUGUSTO,Thomas,67.03
NILSEN,Elias,66.01
MARTIN,Tom,65.07
MATHERON,Vincent,64.49
MACDONALD,Andrew,64.04
CHEN,Ye,63.33
FRANCISCO,Kiko,62.8
BIJUESKA,Egoitz,62.22
WILCOMES,Ash,62.01
SINNERTON,Phoenix,61.21
COCILOVA,Omar,59.18
GLIFBERG,Rune,57.12
O'NEILL,George,49.66
MONTAGARD,Noe,43.83
PACE,Liam,39.36
CALVERT,Tommy,34.33
NYE,Taylor,30.0
OBERHOLZER,Dallas,28.0
COPELAND,Ethan,26.41
last_name,first_name,total
PALMER,Keegan,87.49
CAREW,Tate,85.5
CINI,Luigi,84.11
BARROS,Pedro,82.21
AKIO,Augusto,81.72
EATON,Jagger,81.49
WOOLLEY,Kieran,81.11
BOTTGER,Gavin,80.12
SCHAAR,Tom,79.3
SORGENTE,Alex,78.87
KORTABITARTE,Alain,77.36
WILSON,Keefer,76.92
QUINTAS,Pedro,75.28
LEON,Danny,35.13
NAGAHARA,Yuro,31.66
CARVALHO,Pedro,21.0
last_name,first_name,total
EATON,Jagger,278.28
ONODERA,Ginwoo,277.34
JOSLIN,Chris,275.34
SASAKI,Toa,271.46
HUSTON,Nyjah,239.07
RIBEIRO,Gustavo,182.0
VIANNA,Giovanni,177.39
NETSUKE,Kairi,174.77
last_name,first_name,total
NETSUKE,Kairi,90.41
EATON,Jagger,88.88
HUSTON,Nyjah,87.34
SHIRAI,Sora,86.12
GARBACCIO,Joseph,85.52
SASAKI,Toa,85.08
AOKI,Yukito,84.12
ONODERA,Ginwoo,83.63
GUSTAVO,Felipe,83.42
HOBAN,Braden,83.03
RIBEIRO,Gustavo,82.92
DELL,OLIO,82.78
BERGER,Matt,82.63
DECENZO,Ryan,82.44
JOSLIN,Chris,82.02
VIANNA,Giovanni,81.95
HORIGOME,Yuto,81.88
ILARDI,Jake,81.78
TURY,Richard,80.85
CARO,Angelo,80.1
MOTA,Filipe,79.19
GONZALEZ,ORTIZ,79.05
RUSSELL,Cordano,78.88
MIDLER,Alex,78.69
AGUILAR,Gabryel,78.59
KROON,Kristoffer,77.4
HINSON,Joe,73.4
IGLESIAS,Mauro,72.37
PAPA,Micky,70.26
ZEHNDER,Kilian,69.33
NETSUKE,Kairi,90.41
EATON,Jagger,88.88
HUSTON,Nyjah,87.34
SHIRAI,Sora,86.12
GARBACCIO,Joseph,85.52
SASAKI,Toa,85.08
AOKI,Yukito,84.12
ONODERA,Ginwoo,83.63
GUSTAVO,Felipe,83.42
HOBAN,Braden,83.03
RIBEIRO,Gustavo,82.92
DELL,OLIO,82.78
BERGER,Matt,82.63
DECENZO,Ryan,82.44
JOSLIN,Chris,82.02
VIANNA,Giovanni,81.95
HORIGOME,Yuto,81.88
ILARDI,Jake,81.78
TURY,Richard,80.85
CARO,Angelo,80.1
MOTA,Filipe,79.19
GONZALEZ,ORTIZ,79.05
RUSSELL,Cordano,78.88
MIDLER,Alex,78.69
AGUILAR,Gabryel,78.59
KROON,Kristoffer,77.4
HINSON,Joe,73.4
IGLESIAS,Mauro,72.37
PAPA,Micky,70.26
ZEHNDER,Kilian,69.33
HOEFLER,Kelvin,68.44
AQUILA,Agustin,63.89
RIBEIRO,Gabriel,60.61
VALJALO,Brandon,58.27
TUESTA,Deivid,57.54
COLLYER,Rome,53.21
RABELO,Lucas,52.47
ZHANG,Jie,48.19
RODRIGUEZ,Greg,42.11
O'NEILL,Shane,30.96
FYNN,Tommy,20.84
